id;tmdb;title;genres;popularity;year;runtime;cast;keywords;similar
73;3078;It Happened One Night;['Comedy', 'Romance'];15;1934;105;['Clark Gable', 'Claudette Colbert', 'Walter Connolly'];[];[6440, 6461, 6553]
100;11216;Nuovo Cinema Paradiso;['Drama', 'Romance'];32;1988;124;['Philippe Noiret', 'Jacques Perrin', 'Marco Leonardi'];[];[1093231, 22692, 1251911]
35;562;Die Hard;['Action', 'Thriller'];60;1988;132;['Bruce Willis', 'Alan Rickman', 'Alexander Godunov'];[];[1077280, 6473, 6479]
140;599;Sunset Boulevard;['Drama'];21;1950;110;['William Holden', 'Gloria Swanson', 'Erich von Stroheim'];[];[929183, 22613, 22621]
153;11778;The Deer Hunter;['Drama', 'War'];60;1978;183;['Robert De Niro', 'Christopher Walken', 'John Cazale'];[];[578296, 11590, 11593]
146;24428;The Avengers;['Science Fiction', 'Action', 'Adventure'];129;2012;143;['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo'];[];[11548, 11549, 11575]
101;654;On the Waterfront;['Crime', 'Drama', 'Romance'];20;1954;108;['Marlon Brando', 'Karl Malden', 'Lee J. Cobb'];[];[6521, 6536, 9005]
95;322;Mystic River;['Thriller', 'Crime', 'Drama'];26;2003;138;['Sean Penn', 'Tim Robbins', 'Kevin Bacon'];[];[263336, 263341, 263371]
41;935;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;['Comedy', 'War'];39;1964;95;['Peter Sellers', 'George C. Scott', 'Sterling Hayden'];[];[6524, 6538, 6557]
21;10020;Beauty and the Beast;['Romance', 'Family', 'Animation'];73;1991;84;"[""Paige O'Hara"", 'Robby Benson', 'Richard White']";[];[1082891, 11544, 11618]
152;155;The Dark Knight;['Drama', 'Action', 'Crime'];285;2008;152;['Christian Bale', 'Heath Ledger', 'Aaron Eckhart'];[];[572480, 6536, 8960]
148;115;The Big Lebowski;['Comedy', 'Crime'];40;1998;117;['Jeff Bridges', 'John Goodman', 'Julianne Moore'];[];[22575, 22640, 22642]
20;272;Batman Begins;['Action', 'Crime', 'Drama'];55;2005;140;['Christian Bale', 'Michael Caine', 'Liam Neeson'];[];[263341, 929130, 22590]
125;857;Saving Private Ryan;['Drama', 'History', 'War'];64;1998;169;['Tom Hanks', 'Tom Sizemore', 'Edward Burns'];[];[409502, 6415, 8915]
108;22;Pirates of the Caribbean: The Curse of the Black Pearl;['Adventure', 'Fantasy', 'Action'];129;2003;143;['Johnny Depp', 'Orlando Bloom', 'Keira Knightley'];[];[252656, 11533, 11570]
70;16869;Inglourious Basterds;['Drama', 'Thriller', 'War'];85;2009;153;['Brad Pitt', 'Mélanie Laurent', 'Christoph Waltz'];[];[6418, 6444, 6468]
65;7984;In the Name of the Father;['Drama'];23;1993;133;['Daniel Day-Lewis', 'Pete Postlethwaite', 'Emma Thompson'];[];[263341, 263371, 263373]
74;1585;It's a Wonderful Life;['Drama', 'Family', 'Fantasy'];59;1946;130;['James Stewart', 'Donna Reed', 'Lionel Barrymore'];[];[252665, 252669, 11590]
103;510;One Flew Over the Cuckoo's Nest;['Drama'];46;1975;133;['Jack Nicholson', 'Brad Dourif', 'Louise Fletcher'];[];[911598, 572488, 736285]
86;77;Memento;['Mystery', 'Thriller'];67;2000;113;['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano'];[];[263393, 427800, 427822]
94;3083;Mr. Smith Goes to Washington;['Comedy', 'Drama'];18;1939;129;['James Stewart', 'Jean Arthur', 'Claude Rains'];[];[11580, 252795, 12618]
4;453;A Beautiful Mind;['Drama', 'Romance'];46;2001;135;['Russell Crowe', 'Jennifer Connelly', 'Ed Harris'];[];[252721, 11532, 11550]
93;583;Life of Brian;['Comedy'];27;1979;94;['Graham Chapman', 'John Cleese', 'Terry Gilliam'];[];[22616, 22642, 22733]
90;128;もののけ姫;['Adventure', 'Fantasy', 'Animation'];44;1997;134;['Youji Matsuda', 'Yuriko Ishida', 'Yuko Tanaka'];[];[22620, 24238, 24546]
64;429;Il buono, il brutto, il cattivo;['Western'];80;1966;161;['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef'];[];[6474, 6476, 6523]
2;62;2001: A Space Odyssey;['Science Fiction', 'Mystery', 'Adventure'];57;1968;149;['Keir Dullea', 'Gary Lockwood', 'William Sylvester'];[];[6436, 6479, 9009]
10;279;Amadeus;['History', 'Music', 'Drama'];29;1984;160;['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge'];[];[263341, 427796, 427800]
110;539;Psycho;['Horror', 'Thriller', 'Mystery'];45;1960;109;['Anthony Perkins', 'Janet Leigh', 'Vera Miles'];[];[8987, 8997, 9656]
53;770;Gone with the Wind;['Drama', 'War', 'Romance'];44;1939;233;['Vivien Leigh', 'Clark Gable', 'Olivia de Havilland'];[];[1082928, 1082993, 252721]
89;3082;Modern Times;['Comedy', 'Drama', 'Romance'];14;1936;87;['Charlie Chaplin', 'Paulette Goddard', 'Henry Bergman'];[];[929183, 588957, 588962]
7;348;Alien;['Horror', 'Science Fiction'];108;1979;117;['Tom Skerritt', 'Sigourney Weaver', 'Veronica Cartwright'];[];[578320, 11535, 11548]
144;284;The Apartment;['Comedy', 'Drama', 'Romance'];19;1960;125;['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray'];[];[578209, 11548, 11562]
